data;^SP500TR;AEE;AEP;CNP;D;ED;EIX;ES;ETR;EXC;FE;HE;IDA;NEE;NWE;OGE;PCG;PEG;PNW;PPL
2021-09-13;0,99457655;0,96684415;0,94675204;0,93173157;0,95886158;0,97831032;0,99346303;0,94305458;0,99284696;0,99899822;0,97452885;0,98989664;0,98336037;0,96126223;0,95886488;0,96152740;1,05692793;1,00428423;0,99020785;0,98197068
2021-09-20;1,00517853;0,99964129;0,97562442;1,04011469;1,00620608;0,99904179;0,99688309;0,99936585;0,90823125;0,98756521;1,00272269;0,99975703;1,00164405;0,98848590;0,98815017;0,99792527;1,01016277;0,98045555;0,98279616;0,99093427
2021-09-27;0,97814971;0,96458040;0,99183396;0,97992910;0,96929488;0,98082211;0,95605359;0,98996020;0,98532467;0,97055251;0,97339118;0,99975687;1,00656422;0,98153675;0,98470416;0,98010097;0,96680086;0,99604588;0,99407272;0,98381418
2021-10-04;1,00829723;1,01898037;1,02703378;1,02570279;1,00567137;1,02611729;1,05034538;1,04362197;1,03844248;1,01171760;1,01032087;0,98711390;0,97554424;1,01262435;1,01605131;1,00181828;1,11446401;0,99057233;0,92318388;1,01430625
2021-10-11;1,01835785;1,01266117;0,99892327;1,04737670;1,00550218;1,01361080;1,00367519;1,01170806;0,99089052;1,03019656;1,01104351;1,04532008;1,03460471;1,01820209;0,97095292;1,03348575;1,04575169;1,03706810;1,02162782;1,01727782
2021-10-18;1,01656042;1,02524678;1,02503286;0,99214944;1,05731898;1,02175364;1,05405406;1,00104127;1,02308055;1,03011455;1,03085765;0,97997182;0,99724455;1,03367247;0,99842558;1,01392577;1,06249993;1,02785378;0,98500439;1,00970528
2021-10-25;1,01349490;0,98839116;0,98983434;0,98116063;0,98240363;0,99093200;1,04102560;0,98150315;0,98480069;1,03664018;1,02066223;0,97523453;0,99399703;1,01077921;0,99632027;0,99561676;0,97479006;0,99937332;0,96253745;0,98867145
2021-11-01;1,02025564;1,01435506;1,00389553;1,02419368;1,00790228;1,03726792;1,01779778;0,99422841;1,01193937;1,01786036;1,01401481;1,01873768;1,00747708;1,00234378;1,03306360;1,01555596;1,00430996;1,00611287;1,00108543;0,99722225
2021-11-08;0,99727487;0,98888892;0,96448742;0,99737516;0,97661018;0,98644698;1,00296630;0,97085646;0,97458051;1,00480235;1,00822677;0,96708623;0,98052127;1,00911968;0,98195430;0,99537605;1,05236074;0,96853099;1,02385389;0,99582192
2021-11-15;1,00363313;1,00981669;1,02612078;0,99812016;0,99264136;1,01140591;1,01027392;1,02330695;1,05312864;0,99242657;0,98794840;0,98973957;1,06137618;1,02317241;0,94989629;1,01945389;1,00978800;1,01447631;1,01301061;0,99300698
